ts,symbol,combo,event,spy_close,spy_ema50,beta_60
2023-10-11,MSFT,C,spy_below_ema50,436.33,436.98044832972937,
2023-10-12,MSFT,C,spy_below_ema50,433.68,436.85101898346545,
2023-10-13,MSFT,C,spy_below_ema50,431.625,436.64607706254526,
2023-10-16,MSFT,C,spy_below_ema50,436.04,436.62230933460233,
2023-10-17,MSFT,C,spy_below_ema50,436.11,436.6022187724611,
2023-10-18,MSFT,C,spy_below_ema50,430.24,436.35271999707044,
2023-10-19,MSFT,C,spy_below_ema50,426.43,435.96359372267557,
2023-10-20,MSFT,C,spy_below_ema50,421.25,435.3865900472765,
2023-10-23,MSFT,C,spy_below_ema50,420.52,434.8035865160108,
2023-10-24,MSFT,C,spy_below_ema50,423.56,434.3626615545986,
2023-10-25,MSFT,C,spy_below_ema50,417.62,433.70608659167317,
2023-10-26,MSFT,C,spy_below_ema50,412.6,432.8783969214115,
2023-10-27,MSFT,C,spy_below_ema50,410.76,432.01100880684635,
2023-10-30,MSFT,C,spy_below_ema50,415.64,431.36900846147984,
